,Player,Team,Position,Minutes Played,Aerial Duels Attempted,Defensive Duels Attempted,Touches in Penalty Area,Offsides,Progressive Runs,Fouls Drawn,Goals,Assists,Shots,Shots on Target,Ball Recoveries,Losses of Possession,Interceptions,Red Cards,Yellow Cards,Fouls Committed,Total Passes Attempted,Long Passes Attempted,Forward Passes,Passes into Final Third,Passes into Penalty Area,Passes Received,Crosses Attempted,Accurate Crosses,Shot Assists,ps
818,Fodé Doucouré,Reims,DF,154.0,2.94,7.06,0.0,0.0,1.18,0.59,0.0,0.0,0.59,0.0,8.24,0.59,2.94,0.0,0.0,0.59,47.1,8.82,2.94,0.59,0.59,27.6,1.76,0.0,0.59,0
819,Folarin Balogun,Arsenal,FW,70.0,3.75,0.0,7.5,1.25,1.25,1.25,0.0,0.0,3.75,0.0,3.75,2.5,0.0,0.0,0.0,0.0,10.0,1.25,0.0,0.0,0.0,21.3,0.0,0.0,0.0,0
820,Fran Beltrán,Celta Vigo,MF,2597.0,2.5,2.63,0.17,0.0,4.12,1.04,0.03,0.0,0.69,0.14,11.5,0.83,1.87,0.0,0.14,0.76,65.9,11.9,3.08,4.36,0.24,52.8,0.31,0.07,0.42,0
821,Fran Mérida,Espanyol,MF,266.0,2.0,2.67,0.67,0.0,5.33,2.0,0.0,0.0,1.33,0.0,13.0,0.33,1.0,0.33,0.67,2.67,59.0,18.3,5.0,8.33,0.67,42.3,0.33,0.0,1.33,0
822,Francesco Acerbi,Lazio,DF,2536.0,4.4399999999999995,0.96,0.78,0.14,3.48,0.67,0.14,0.0,0.57,0.25,10.7,0.11,1.7,0.04,0.07,0.71,71.1,12.9,3.12,4.33,0.21,57.8,0.04,0.0,0.21,0
823,Francesco Bardi,Bologna,GK,177.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,25.0,14.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0
824,Francesco Caputo,"Sampdoria, Sassuolo",FW,1473.0,1.93,0.08,6.3100000000000005,0.58,2.5,1.495,0.175,0.345,2.045,0.45,3.105,0.96,0.065,0.0,0.295,0.6799999999999999,20.05,0.71,1.075,0.635,0.5549999999999999,21.65,0.37,0.03,1.51,0
825,Francesco Cassata,Genoa,MF,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0
826,Francesco Di Mariano,Venezia,FW,62.0,1.43,1.43,2.86,0.0,5.71,1.43,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,1.43,20.0,5.71,0.0,0.0,1.43,24.3,2.86,1.43,1.43,0
827,Francesco Di Tacchio,Salernitana,MF,1255.0,2.66,1.29,0.58,0.0,1.73,2.01,0.0,0.0,1.01,0.07,10.3,0.72,2.59,0.0,0.22,2.16,38.6,7.34,3.6,3.6,0.58,27.0,0.22,0.0,0.22,0
828,Francesco Forte,Venezia,FW,422.0,7.4399999999999995,1.06,3.83,0.43,1.7,1.28,0.21,0.0,2.34,0.43,3.83,1.06,0.21,0.0,0.64,2.34,16.4,0.21,1.06,0.43,0.21,17.0,0.64,0.0,0.64,0
829,Francesco Magnanelli,Sassuolo,MF,271.0,2.0,2.0,0.0,0.0,3.33,3.0,0.0,0.0,0.67,0.0,14.7,0.0,1.33,0.0,0.33,3.33,84.3,15.3,5.0,8.0,0.33,65.0,0.0,0.0,0.33,0
830,Francesco Rossi,Atalanta,GK,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,40.0,17.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0
